"do_disease_id","do_disease_name","omim_id","gene_accession_id"
"0112248","17-beta hydroxysteroid dehydrogenase 3 deficiency","264300","MGI:107177"
"0111453","2-aminoadipic 2-oxoadipic aciduria","204750","MGI:2445096"
"0110004","3-methylglutaconic aciduria type 3","258501","MGI:2686271"
"0110001","3-methylglutaconic aciduria with deafness, encephalopathy, and Leigh-like syndrome","614739","MGI:2447813"
"14221","abdominal obesity-metabolic syndrome 1","605552","MGI:3622477"
"14221","abdominal obesity-metabolic syndrome 1","605552","MGI:104663"
"14221","abdominal obesity-metabolic syndrome 1","605552","MGI:1926609"
"14221","abdominal obesity-metabolic syndrome 1","605552","MGI:5828147"
"0050711","aceruloplasminemia","604290","MGI:88476"
"9164","achalasia","200400","MGI:96794"
"9164","achalasia","200400","MGI:97360"
"9164","achalasia","200400","MGI:1345138"
"0050603","acheiropody","200500","MGI:1861746"
"0080054","achondrogenesis type IA","200600","MGI:1924393"
"0080056","achondrogenesis type II","200610","MGI:88452"
"4480","achondroplasia","100800","MGI:2150019"
"4480","achondroplasia","100800","MGI:2181550"
"4480","achondroplasia","100800","MGI:97800"
"4480","achondroplasia","100800","MGI:99602"
"4480","achondroplasia","100800","MGI:95524"
"4480","achondroplasia","100800","MGI:2388108"
"4480","achondroplasia","100800","MGI:97369"
"4480","achondroplasia","100800","MGI:97372"
"0110007","achromatopsia 2","216900","MGI:1341818"
"0110008","achromatopsia 3","262300","MGI:1353562"
"0110010","achromatopsia 4","613856","MGI:95779"
"0110009","achromatopsia 7","616517","MGI:1926157"
"9250","acrocallosal syndrome","200990","MGI:1098239"
"12960","acrocephalosyndactylia","101200","MGI:95523"
"0050605","acrodermatitis enteropathica","201100","MGI:1919277"
"14669","acrodysostosis","101800","MGI:104878"
"14669","acrodysostosis","614613","MGI:104878"
"0080052","acromesomelic dysplasia, Grebe type","200700","MGI:95688"
"0080051","acromesomelic dysplasia, Hunter-Thompson type","201250","MGI:95688"
"0080050","acromesomelic dysplasia, Maroteaux type","602875","MGI:97372"
"7004","ACTH-secreting pituitary adenoma","219090","MGI:5805517"
"3890","acute intermittent porphyria","176000","MGI:96112"
"12603","acute leukemia","308960","MGI:3822839"
"9952","acute lymphoblastic leukemia","247640","MGI:96995"
"9952","acute lymphoblastic leukemia","613065","MGI:96995"
"9952","acute lymphoblastic leukemia","247640","MGI:4889197"
"9952","acute lymphoblastic leukemia","613065","MGI:4889197"
"9952","acute lymphoblastic leukemia","247640","MGI:102811"
"9952","acute lymphoblastic leukemia","613065","MGI:102811"
"9952","acute lymphoblastic leukemia","247640","MGI:99460"
"9952","acute lymphoblastic leukemia","613065","MGI:99460"
"9952","acute lymphoblastic leukemia","247640","MGI:5788538"
"9952","acute lymphoblastic leukemia","613065","MGI:5788538"
"9952","acute lymphoblastic leukemia","247640","MGI:4843438"
"9952","acute lymphoblastic leukemia","613065","MGI:4843438"
"9952","acute lymphoblastic leukemia","247640","MGI:109583"
"9952","acute lymphoblastic leukemia","613065","MGI:109583"
"9952","acute lymphoblastic leukemia","247640","MGI:107940"
"9952","acute lymphoblastic leukemia","613065","MGI:107940"
"9119","acute myeloid leukemia","601626","MGI:99480"
"9119","acute myeloid leukemia","601626","MGI:5558102"
"9119","acute myeloid leukemia","601626","MGI:2444354"
"9119","acute myeloid leukemia","601626","MGI:6315192"
"9119","acute myeloid leukemia","601626","MGI:96995"
"9119","acute myeloid leukemia","601626","MGI:5548207"
"9119","acute myeloid leukemia","601626","MGI:98282"
"9119","acute myeloid leukemia","601626","MGI:101785"
"9119","acute myeloid leukemia","601626","MGI:2684063"
"9119","acute myeloid leukemia","601626","MGI:95559"
"9119","acute myeloid leukemia","601626","MGI:1098280"
"0060318","acute promyelocytic leukemia","612376","MGI:5306984"
"0060318","acute promyelocytic leukemia","612376","MGI:2673324"
"0060227","Adams-Oliver syndrome","100300","MGI:1859388"
"0060227","Adams-Oliver syndrome","614219","MGI:1859388"
"0060227","Adams-Oliver syndrome","615297","MGI:1859388"
"0060227","Adams-Oliver syndrome","616028","MGI:1859388"
"0060350","adenine phosphoribosyltransferase deficiency","614723","MGI:88061"
"5810","adenosine deaminase deficiency","102700","MGI:87916"
"5810","adenosine deaminase deficiency","102700","MGI:2683065"
"0080150","adrenocorticotropic hormone deficiency","201400","MGI:1891158"
"10588","adrenoleukodystrophy","300100","MGI:1349215"
"0110913","adult hypophosphatasia","146300","MGI:87983"
"0080093","adult-onset myofibrillar myopathy 2A","608810","MGI:88516"
"0080093","adult-onset myofibrillar myopathy 2A","608810","MGI:6103871"
"0080093","adult-onset myofibrillar myopathy 2A","608810","MGI:5468018"
"0110011","advanced sleep phase syndrome 1","604348","MGI:3837441"
"0110011","advanced sleep phase syndrome 1","604348","MGI:1195265"
"0110012","advanced sleep phase syndrome 2","615224","MGI:3837570"
"0110012","advanced sleep phase syndrome 2","615224","MGI:3837571"
"0090003","agenesis of the corpus callosum with peripheral neuropathy","218000","MGI:2135960"
"0110014","age related macular degeneration 1","603075","MGI:98935"
"0110014","age related macular degeneration 1","603075","MGI:3575688"
"0110014","age related macular degeneration 1","603075","MGI:88518"
"0110024","age related macular degeneration 12","613784","MGI:1333815"
"0110017","age related macular degeneration 4","610698","MGI:88385"
"1474","aggressive periodontitis","170650","MGI:1926321"
"1474","aggressive periodontitis","608526","MGI:1926321"
"0060341","agnathia-otocephaly complex","202650","MGI:1336209"
"0060341","agnathia-otocephaly complex","202650","MGI:1347465"
"0050629","Aicardi-Goutieres syndrome","225750","MGI:1328317"
"0050629","Aicardi-Goutieres syndrome","610181","MGI:1328317"
"0050629","Aicardi-Goutieres syndrome","610329","MGI:1328317"
"0050629","Aicardi-Goutieres syndrome","610333","MGI:1328317"
"0050629","Aicardi-Goutieres syndrome","612952","MGI:1328317"
"0050629","Aicardi-Goutieres syndrome","615010","MGI:1328317"
"0050629","Aicardi-Goutieres syndrome","615846","MGI:1328317"
"0050629","Aicardi-Goutieres syndrome","225750","MGI:1889575"
"0050629","Aicardi-Goutieres syndrome","610181","MGI:1889575"
"0050629","Aicardi-Goutieres syndrome","610329","MGI:1889575"
"0050629","Aicardi-Goutieres syndrome","610333","MGI:1889575"
"0050629","Aicardi-Goutieres syndrome","612952","MGI:1889575"
"0050629","Aicardi-Goutieres syndrome","615010","MGI:1889575"
"0050629","Aicardi-Goutieres syndrome","615846","MGI:1889575"
"0112321","alacrima, achalasia, and impaired intellectual development syndrome","615510","MGI:1916330"
"9245","Alagille syndrome","118450","MGI:1095416"
"9245","Alagille syndrome","610205","MGI:1095416"
"0050741","alcohol dependence","103780","MGI:1927073"
"4252","Alexander disease","203450","MGI:3581786"
"4252","Alexander disease","203450","MGI:95697"
"4252","Alexander disease","203450","MGI:3809242"
"4252","Alexander disease","203450","MGI:3581778"
"9270","alkaptonuria","203500","MGI:96078"
"0050631","Allan-Herndon-Dudley syndrome","300523","MGI:1203732"
"986","alopecia areata","104000","MGI:2385321"
"986","alopecia areata","610753","MGI:2385321"
"0050634","alopecia universalis","203655","MGI:96223"
"13372","alpha 1-antitrypsin deficiency","613490","MGI:98376"
"13372","alpha 1-antitrypsin deficiency","613490","MGI:3847800"
"0060601","alpha-2-plasmin inhibitor deficiency","262850","MGI:107173"
"3413","alpha-mannosidosis","248500","MGI:107286"
"0060602","alpha-methylacyl-CoA racemase deficiency","614307","MGI:1098273"
"1099","alpha thalassemia","604131","MGI:96014"
"0110030","alpha thalassemia-X-linked intellectual disability syndrome","301040","MGI:103067"
"0050473","Alstrom syndrome","203800","MGI:1934606"
"0050635","alternating hemiplegia of childhood","104290","MGI:88107"
"0050635","alternating hemiplegia of childhood","614820","MGI:88107"
"0110042","Alzheimers disease 3","607822","MGI:3693363"
"0110042","Alzheimers disease 3","607822","MGI:3693207"
"0110042","Alzheimers disease 3","607822","MGI:1202717"
"0110042","Alzheimers disease 3","607822","MGI:3618598"
"0110042","Alzheimers disease 3","607822","MGI:3525178"
"0110040","Alzheimers disease 4","606889","MGI:2448606"
"0111060","Ambras type hypertrichosis universalis congenita","145701","MGI:96678"
"0110060","amelogenesis imperfecta hypomaturation type 2A2","612529","MGI:1353466"
"0110061","amelogenesis imperfecta hypomaturation type 2A3","613211","MGI:3583957"
"0110052","amelogenesis imperfecta type 1B","104500","MGI:1333772"
"0110058","amelogenesis imperfecta type 1E","301200","MGI:88005"
"0110058","amelogenesis imperfecta type 1E","301200","MGI:3716187"
"0111722","amelogenesis imperfecta type 3C","618386","MGI:2443373"
"0060193","amyotrophic lateral sclerosis type 1","105400","MGI:4849841"
"0060193","amyotrophic lateral sclerosis type 1","105400","MGI:5621056"
"0060193","amyotrophic lateral sclerosis type 1","105400","MGI:4452507"
"0060193","amyotrophic lateral sclerosis type 1","105400","MGI:2388294"
"0060193","amyotrophic lateral sclerosis type 1","105400","MGI:3793783"
"0060193","amyotrophic lateral sclerosis type 1","105400","MGI:2183652"
"0060193","amyotrophic lateral sclerosis type 1","105400","MGI:5449891"
"0060193","amyotrophic lateral sclerosis type 1","105400","MGI:5630055"
"0060193","amyotrophic lateral sclerosis type 1","105400","MGI:1298397"
"0060193","amyotrophic lateral sclerosis type 1","105400","MGI:2388309"
"0060193","amyotrophic lateral sclerosis type 1","105400","MGI:2178798"
"0060193","amyotrophic lateral sclerosis type 1","105400","MGI:2388308"
"0060193","amyotrophic lateral sclerosis type 1","105400","MGI:2388295"
"0060193","amyotrophic lateral sclerosis type 1","105400","MGI:2388297"
"0060193","amyotrophic lateral sclerosis type 1","105400","MGI:2388296"
"0060193","amyotrophic lateral sclerosis type 1","105400","MGI:5621171"
"0060193","amyotrophic lateral sclerosis type 1","105400","MGI:2183553"
"0060193","amyotrophic lateral sclerosis type 1","105400","MGI:3785089"
"0060193","amyotrophic lateral sclerosis type 1","105400","MGI:5449419"
"0060193","amyotrophic lateral sclerosis type 1","105400","MGI:98351"
"0060193","amyotrophic lateral sclerosis type 1","105400","MGI:98352"
"0060193","amyotrophic lateral sclerosis type 1","105400","MGI:5499105"
"0060193","amyotrophic lateral sclerosis type 1","105400","MGI:4440538"
"0060193","amyotrophic lateral sclerosis type 1","105400","MGI:5699309"
"0060193","amyotrophic lateral sclerosis type 1","105400","MGI:5699311"
"0060193","amyotrophic lateral sclerosis type 1","105400","MGI:5308397"
"0060193","amyotrophic lateral sclerosis type 1","105400","MGI:5621060"
"0060193","amyotrophic lateral sclerosis type 1","105400","MGI:5286584"
"0060193","amyotrophic lateral sclerosis type 1","105400","MGI:5448545"
"0060193","amyotrophic lateral sclerosis type 1","105400","MGI:3629225"
"0060193","amyotrophic lateral sclerosis type 1","105400","MGI:5297586"
"0060193","amyotrophic lateral sclerosis type 1","105400","MGI:5575974"
"0060193","amyotrophic lateral sclerosis type 1","105400","MGI:103178"
"0060193","amyotrophic lateral sclerosis type 1","105400","MGI:3573957"
"0060193","amyotrophic lateral sclerosis type 1","105400","MGI:3573959"
"0060193","amyotrophic lateral sclerosis type 1","105400","MGI:3573960"
"0060193","amyotrophic lateral sclerosis type 1","105400","MGI:4843142"
"0060193","amyotrophic lateral sclerosis type 1","105400","MGI:2183653"
"0060201","amyotrophic lateral sclerosis type 10","612069","MGI:5000262"
"0060201","amyotrophic lateral sclerosis type 10","612069","MGI:5922012"
"0060201","amyotrophic lateral sclerosis type 10","612069","MGI:5559587"
"0060201","amyotrophic lateral sclerosis type 10","612069","MGI:5476818"
"0060201","amyotrophic lateral sclerosis type 10","612069","MGI:5476817"
"0060201","amyotrophic lateral sclerosis type 10","612069","MGI:5476814"
"0060201","amyotrophic lateral sclerosis type 10","612069","MGI:5463118"
"0060201","amyotrophic lateral sclerosis type 10","612069","MGI:2387629"
"0060201","amyotrophic lateral sclerosis type 10","612069","MGI:5310798"
"0060201","amyotrophic lateral sclerosis type 10","612069","MGI:5002478"
"0060201","amyotrophic lateral sclerosis type 10","612069","MGI:5000263"
"0060201","amyotrophic lateral sclerosis type 10","612069","MGI:4839652"
"0060201","amyotrophic lateral sclerosis type 10","612069","MGI:4839651"
"0060201","amyotrophic lateral sclerosis type 10","612069","MGI:4438487"
"0060201","amyotrophic lateral sclerosis type 10","612069","MGI:4438486"
"0060201","amyotrophic lateral sclerosis type 10","612069","MGI:4358721"
"0060206","amyotrophic lateral sclerosis type 15","300857","MGI:5829049"
"0060206","amyotrophic lateral sclerosis type 15","300857","MGI:5896607"
"0060212","amyotrophic lateral sclerosis type 21","606070","MGI:1298379"
"0080225","amyotrophic lateral sclerosis type 23","617839","MGI:108481"
"0060196","amyotrophic lateral sclerosis type 4","602433","MGI:2443480"
"0060196","amyotrophic lateral sclerosis type 4","602433","MGI:6881753"
"0060198","amyotrophic lateral sclerosis type 6","608030","MGI:5644689"
"0060198","amyotrophic lateral sclerosis type 6","608030","MGI:5644688"
"0060198","amyotrophic lateral sclerosis type 6","608030","MGI:1353633"
"0060198","amyotrophic lateral sclerosis type 6","608030","MGI:5577177"
"0060198","amyotrophic lateral sclerosis type 6","608030","MGI:5618416"
"0060198","amyotrophic lateral sclerosis type 6","608030","MGI:5445409"
"0060198","amyotrophic lateral sclerosis type 6","608030","MGI:6476960"
"0050752","amyotrophic lateral sclerosis type 8","608627","MGI:5544192"
"0050801","androgenic alopecia","109200","MGI:4818966"
"0050801","androgenic alopecia","300710","MGI:4818966"
"0050801","androgenic alopecia","612421","MGI:4818966"
"4674","androgen insensitivity syndrome","300068","MGI:88064"
"4674","androgen insensitivity syndrome","300068","MGI:95543"
"0060668","anencephaly","206500","MGI:1923799"
"0060668","anencephaly","206500","MGI:107444"
"0060668","anencephaly","206500","MGI:109360"
"1932","Angelman syndrome","105830","MGI:105098"
"1932","Angelman syndrome","105830","MGI:4830894"
"1932","Angelman syndrome","105830","MGI:98347"
"0090119","ankyloblepharon-ectodermal defects-cleft lip/palate syndrome","106260","MGI:1330810"
"0060604","ankyloglossia","106280","MGI:1341817"
"0111700","ankyrin-B-related cardiac arrhythmia","600919","MGI:88025"
"0060850","annular pancreas","167750","MGI:95683"
"0060850","annular pancreas","167750","MGI:96533"
"3755","antithrombin III deficiency","613118","MGI:88095"
"2030","anxiety disorder","607834","MGI:96273"
"12449","aplastic anemia","609135","MGI:107656"
"12449","aplastic anemia","609135","MGI:1197013"
"14755","argininosuccinic aciduria","207900","MGI:88084"
"0090122","aromatase excess syndrome","139300","MGI:88587"
"0090122","aromatase excess syndrome","139300","MGI:2450860"
"0090123","aromatic L-amino acid decarboxylase deficiency","608643","MGI:94876"
"0110081","arrhythmogenic right ventricular dysplasia 10","610193","MGI:1196466"
"0110083","arrhythmogenic right ventricular dysplasia 12","611528","MGI:5660495"
"0110083","arrhythmogenic right ventricular dysplasia 12","611528","MGI:96650"
"0110083","arrhythmogenic right ventricular dysplasia 12","611528","MGI:6501729"
"0110074","arrhythmogenic right ventricular dysplasia 5","604400","MGI:105381"
"0110076","arrhythmogenic right ventricular dysplasia 8","607450","MGI:109611"
