"parameter_id","impc_parameter_orig_id","name","description"
"IMPC_GRS_001_001","17587"," forelimb grip strength measurement","forelimb grip strength measurement"
"IMPC_GRS_002_001","17588"," forelimb and hindlimb grip strength measurement","forelimb and hindlimb grip strength measurement"
"IMPC_GRS_003_001","17589"," body weight","body weight"
"IMPC_GRS_004_001","17590"," general comments about the mouse","general comments about the mouse"
"IMPC_GRS_005_001","17591"," equipment id","equipment name"
"IMPC_GRS_006_001","17592"," equipment manufacturer","equipment manufacturer"
"IMPC_GRS_007_001","17593"," grid model","grid model"
"IMPC_GRS_008_001","17594"," forelimb grip strength measurement mean","forelimb grip strength measurement mean"
"IMPC_GRS_009_001","17595"," forelimb and hindlimb grip strength measurement mean","forelimb and hindlimb grip strength measurement mean"
"IMPC_GRS_010_001","17596"," forelimb grip strength normalised against body weight","forelimb grip strength normalised against body weight"
"IMPC_GRS_011_001","17597"," forelimb and hindlimb grip strength normalised against body weight","forelimb and hindlimb grip strength normalised against body weight"
"IMPC_GRS_012_001","17598"," experimenter id",""
"IMPC_GRS_013_001","17599"," equipment model",""
"IMPC_GRS_014_001","17600"," date equipment last calibrated",""
"IMPC_ALZ_001_001","27568"," adrenal gland","adrenal"
"IMPC_ALZ_002_001","27569"," lower urinary tract","lower urinary tract"
"IMPC_ALZ_003_001","27570"," brain","brain"
"IMPC_ALZ_004_001","27571"," eye","eye"
"IMPC_ALZ_005_001","27572"," heart","heart"
"IMPC_ALZ_006_001","27573"," kidney","kidney"
"IMPC_ALZ_007_001","27574"," liver","liver"
"IMPC_ALZ_008_001","27575"," lymph node","lymph node"
"IMPC_ALZ_009_001","27576"," mammary gland","mammary gland"
"IMPC_ALZ_010_001","27577"," ovary","ovary"
"IMPC_ALZ_011_001","27578"," oviduct","oviduct"
"IMPC_ALZ_012_001","27579"," skin","skin with mg"
"IMPC_ALZ_013_001","27580"," stomach","stomach"
"IMPC_ALZ_014_001","27581"," testis","testis epididymus"
"IMPC_ALZ_015_001","27582"," thymus","thymus"
"IMPC_ALZ_016_001","27583"," trachea","trachea"
"IMPC_ALZ_017_001","27584"," uterus","uterus"
"IMPC_ALZ_018_001","27585"," large intestine","large intestine"
"IMPC_ALZ_019_001","27586"," esophagus","esophagus"
"IMPC_ALZ_020_001","27587"," spinal cord","spinal cord"
"IMPC_ALZ_021_001","27588"," thyroid gland","thyroid"
"IMPC_ALZ_022_001","27589"," pituitary gland","pituitary"
"IMPC_ALZ_023_001","27590"," skeletal muscle","skeletal muscle"
"IMPC_ALZ_024_001","27591"," small intestine","small intestine"
"IMPC_ALZ_025_001","27592"," white adipose tissue","white adipose tissue"
"IMPC_ALZ_026_001","27593"," lung","lungs"
"IMPC_ALZ_027_001","27594"," aorta","aorta"
"IMPC_ALZ_028_001","27595"," pancreas","pancreas"
"IMPC_ALZ_029_001","27596"," prostate gland","prostate"
"IMPC_ALZ_030_001","27597"," spleen","spleen"
"IMPC_ALZ_031_001","27598"," brainstem","brainstem"
"IMPC_ALZ_032_001","27599"," cartilage tissue","cartilage"
"IMPC_ALZ_033_001","27600"," cerebral cortex","cerebral cortex"
"IMPC_ALZ_034_001","27601"," cerebellum","cerebellum"
"IMPC_ALZ_035_001","27602"," hippocampus","hippocampus"
"IMPC_ALZ_036_001","27603"," hypothalamus","hypothalamus"
"IMPC_ALZ_037_001","27604"," olfactory lobe","olfactory lobe"
"IMPC_ALZ_038_001","27605"," peripheral nervous system","peripheral nervous system"
"IMPC_ALZ_039_001","27606"," peyers patch","peyers patch"
"IMPC_ALZ_040_001","27607"," striatum","straiatum"
"IMPC_ALZ_041_001","27608"," vascular system","vascular system"
"IMPC_ALZ_042_001","27609"," urinary bladder","urinary bladder"
"IMPC_ALZ_043_001","27610"," bone","bone"
"IMPC_ALZ_044_001","27611"," cecum","cecum"
"IMPC_ALZ_045_001","27612"," colon","colon"
"IMPC_ALZ_046_001","27613"," duodenum","duodenum"
"IMPC_ALZ_047_001","27614"," ileum","ileum"
"IMPC_ALZ_048_001","27615"," jejunum","jejunum"
"IMPC_ALZ_049_001","27616"," gonadal fat pad","adipose gonad"
"IMPC_ALZ_050_001","27617"," bone  marrow","bone marrow"
"IMPC_ALZ_051_001","27618"," vas deferens","vas deferens"
"IMPC_ALZ_052_001","27619"," brown adipose tissue","adipose brown"
"IMPC_ALZ_053_001","27620"," mesenteric adipose tissue","adipose mesenteric"
"IMPC_ALZ_054_001","27621"," blood","blood smear"
"IMPC_ALZ_055_001","27622"," diaphragm","diaphragm"
"IMPC_ALZ_056_001","27623"," gall bladder","gall bladder"
"IMPC_ALZ_057_001","27624"," harderian gland","hardarian gland"
"IMPC_ALZ_058_001","27625"," hindlimb","hind limb"
"IMPC_ALZ_059_001","27626"," quadriceps","muscle quad"
"IMPC_ALZ_060_001","27627"," parathyroid gland","parathyroid"
"IMPC_ALZ_061_001","27628"," parotid gland","parotid gland"
"IMPC_ALZ_062_001","27629"," penis","penis"
"IMPC_ALZ_063_001","27630"," stomach pyloric region","pylorus"
"IMPC_ALZ_064_001","27631"," chest bone","ribcage"
"IMPC_ALZ_065_001","27632"," sciatic nerve","sciatic nerve quad"
"IMPC_ALZ_066_001","27633"," cranium","skull"
"IMPC_ALZ_067_001","27634"," sublingual gland","sublingual gland"
"IMPC_ALZ_068_001","27635"," submandibular gland","submandibular gland"
"IMPC_ALZ_069_001","27636"," tongue","tongue"
"IMPC_ALZ_070_001","27637"," trigeminal v nerve","trigeminal nerve"
"IMPC_ALZ_071_001","27638"," vagina","vagina"
"IMPC_ALZ_072_001","27639"," vesicular gland","vesicular gland"
"IMPC_ALZ_073_001","27640"," mesenteric lymph node","mesenteric lymph node"
"IMPC_ALZ_074_001","27641"," oral epithelium","oral epithelia"
"IMPC_ALZ_075_001","27642"," lacz images section","lacz images section"
"IMPC_ALZ_076_001","27643"," lacz images wholemount","lacz images wholemount"
"IMPC_ALZ_077_001","27644"," free ontology","free ontology"
"IMPC_ALZ_078_001","27645"," free ontology annotation reason","free ontology annotation reason"
"IMPC_ALZ_079_001","27646"," free text comment","free text comment"
"IMPC_ALZ_080_001","27647"," microscope equipment id","microscope equipment id"
"IMPC_ALZ_081_001","27648"," microscope equipment manufacturer","microscope equipment manufacturer"
"IMPC_ALZ_082_001","27649"," microscope equipment model","microscope equipment model"
"IMPC_ALZ_083_001","27650"," date microscope last calibrated","date microscope last calibrated"
"IMPC_ALZ_084_001","27651"," detector equipment manufacturer","detector equipment manufacturer"
"IMPC_ALZ_085_001","27652"," detector equipment model","detector equipment model"
"IMPC_ALZ_086_001","27653"," objective equipment company","objective equipment company"
"IMPC_ALZ_087_001","27654"," objective equipment model","objective equipment model"
"IMPC_ALZ_088_001","27655"," objective magnification","objective magnification"
"IMPC_ALZ_089_001","27656"," illumination source manufacturer","illumination source manufacturer"
"IMPC_ALZ_090_001","27657"," illumination source model","illumination source model"
"IMPC_ALZ_091_001","27658"," sample preparation stain name","sample preparation stain name"
"IMPC_ALZ_092_001","27659"," sample preparation reference impc","sample preparation reference impc"
"IMPC_ALZ_093_001","27660"," bit depth","bit depth"
"IMPC_ALZ_094_001","27661"," colorspace","colorspace"
"IMPC_ALZ_095_001","27662"," experimental category","experimental category"
"IMPC_ALZ_096_001","27663"," orientation","orientation"
"IMPC_ALZ_097_001","27664"," pixels per millimeter before processing","pixels per millimeter before processing"
"IMPC_ALZ_098_001","27665"," pixels per millimeter after processing","pixels per millimeter after processing"
"IMPC_ALZ_099_001","27666"," showcase image","showcase image"
"IMPC_ALZ_100_001","27667"," date of sacrifice","date of sacrifice"
"IMPC_ALZ_101_001","27668"," date of perfusion","date of perfusion"
"IMPC_ALZ_102_001","27669"," epididymis",""
"IMPC_ALZ_103_001","27670"," main olfactory bulb",""
"IMPC_ALZ_104_001","27671"," midbrain",""
"IMPC_ALZ_105_001","27672"," thalamus",""
"IMPC_GEO_001_001","44496"," alive","alive"
"IMPC_GEO_002_001","44497"," scored","scored"
"IMPC_GEO_003_001","44498"," cardiovascular system","cardiovascular system"
"IMPC_GEO_004_001","44499"," cardiovascular development","cardiovascular development"
"IMPC_GEO_005_001","44500"," heart development","heart development"
"IMPC_GEO_006_001","44501"," outflow tract development","outflow tract development"
"IMPC_GEO_008_001","44502"," heart morphology","heart morphology"
"IMPC_GEO_011_001","44503"," blood vessel morphology","blood vessel morphology"
"IMPC_GEO_012_001","44504"," developmental vascular remodelling","developmental vascular remodelling"
"IMPC_GEO_013_001","44505"," craniofacial","craniofacial"
"IMPC_GEO_014_001","44506"," craniofacial development","craniofacial development"
"IMPC_GEO_015_001","44507"," head shape","head shape"
"IMPC_GEO_016_001","44508"," head size","head size"
"IMPC_GEO_019_001","44509"," embryo size","embryo size"
"IMPC_GEO_020_001","44510"," body wall morphology","body wall morphology"
"IMPC_GEO_021_001","44511"," hearing/vestibular/ear","hearing vestibular ear"
"IMPC_GEO_022_001","44512"," ear morphology","abnormal ear morphology"
"IMPC_GEO_023_001","44513"," ear development","ear development"
"IMPC_GEO_024_001","44514"," homeostasis/metabolism","homeostasis metabolism"
"IMPC_GEO_027_001","44515"," integument","integument"
"IMPC_GEO_028_001","44516"," vibrissa morphology","vibrissa morphology"
"IMPC_GEO_029_001","44517"," skin appearance","skin appearance"
"IMPC_GEO_030_001","44518"," skin coloration","skin coloration"
"IMPC_GEO_031_001","44519"," limb bud morphology","limb bud morphology"
"IMPC_GEO_032_001","44520"," limb plate morphology","limb plate morphology"
"IMPC_GEO_033_001","44521"," tail morphology","tail morphology"
"IMPC_GEO_035_001","44522"," liver/biliary","liver biliary"
"IMPC_GEO_036_001","44523"," liver morphology","liver morphology"
"IMPC_GEO_037_001","44524"," liver size","liver size"
"IMPC_GEO_039_001","44525"," nervous system","nervous system"
"IMPC_GEO_040_001","44526"," brain development","brain development"
"IMPC_GEO_044_001","44527"," vision/eye","vision eye"
"IMPC_GEO_045_001","44528"," eye morphology","eye morphology"
"IMPC_GEO_046_001","44529"," eye size","eye size"
"IMPC_GEO_049_001","44530"," comment on image","comment on image"
"IMPC_GEO_050_001","44531"," images","images"
"IMPC_GEO_051_001","44532"," experimenter id","experimenter id"
"IMPC_GEO_052_001","44533"," equipment id","equipment id"
"IMPC_GEO_053_001","44534"," equipment manufacturer","equipment manufacturer"
"IMPC_GEO_054_001","44535"," equipment model","equipment model"
"IMPC_GEO_055_001","44536"," fixative","fixative"
"IMPC_GEO_056_001","44537"," time of dissection","time of dissection"
"IMPC_GEO_057_001","44538"," somite stage","somite stage"
"IMPC_GEO_058_001","44539"," time of dark cycle start","time of dark cycle start"
"IMPC_GEO_059_001","44540"," time of dark cycle end","time of dark cycle end"
"IMPC_GEO_060_001","44541"," date equipment last calibrated","date equipment last calibrated"
"IMPC_GEO_007_002","44542"," absent heartbeat","absent heartbeat"
"IMPC_GEO_009_002","44543"," hemorrhage","hemorrhage"
"IMPC_GEO_010_002","44544"," skin hemorrhage","skin hemorrhage"
"IMPC_GEO_017_002","44545"," facial cleft","facial cleft"
"IMPC_GEO_018_002","44546"," cleft palate","cleft palate"
