"gene_accession_id","analysis_id","gene_symbol","mouse_strain","mouse_life_stage","parameter_id","parameter_name","pvalue"
"3700200","000260hn1776d17","Ift70a2","C57BL","Early adult","IMPC_GEL_042_001","otic vesicle morphology","0.7176313"
"1920500","0002k8630u6yfub","Ceacam5","C57BL","Early adult","IMPC_HEM_004_001","hematocrit","0.6983082"
"1927665","00079r0afvm4v6f","Sirt3","C57BL","Early adult","IMPC_DXA_007_001","bmc/body weight","0.7513031"
"1923607","000981yy544b29h","Trmt5","C57BL","Early adult","IMPC_OFD_015_001","center resting time","0.0992978"
"2143990","000eu6c1b08kixz","","C57BL","Early adult","IMPC_HEM_029_001","neutrophil differential count","0.9737455"
"2384860","0017wv26eajc78x","Slc44a3","C57BL","Early adult","IMPC_CBC_006_001","total protein","0.9087416"
"97361","001j1nvat9588k3","Nos2","C57BL","Early adult","IMPC_EYE_013_001","pupil dilation","0.1731636"
"2385891","001pnpmsn1l954q","Zc3h12a","C57BL","Early adult","IMPC_OFD_016_001","center permanence time","0.4382253"
"1933169","001v1ig73332vzl","Sacm1l","C57BL","Early adult","IMPC_DXA_004_001","bone mineral density (excluding skull)","0.6738163"
"109242","002468kyg6u6p26","Spin1","C57BL","E12.5","IMPC_GEP_017_001","facial morphology","0.8659537"
"96136","00265jx17gfm8y9","Hmgn2","C57BL","E15.5","IMPC_HEM_004_001","hematocrit","0.3041049"
"106638","0028r56f79hs702","Pla2g2c","C57BL","Early adult","IMPC_CBC_013_001","alanine aminotransferase","0.8391716"
"1930618","002e12g3q19i9wg","Krit1","C57BL","E12.5","M-G-P_007_001_007","periphery - resting time","0.82361"
"3700200","002gu1s9110nr69","Ift70a2","C57BL","Early adult","ESLIM_011_001_703","prepulse inhibition - pp3","0.3035277"
"108424","002p4h69xx4u7u1","Irag2","C57BL","Early adult","IMPC_ACS_006_001","response amplitude - s","0.0542139"
"1915094","002r56o9200o304","Rab32","C57BL","Early adult","IMPC_OFD_018_001","latency to center entry","0.3689382"
"1933946","00329i0pg3cz497","Ptov1","C57BL","Early adult","IMPC_OFD_010_001","periphery distance travelled","0.9590914"
"1196455","003353y82edy15v","Ccdc97","C57BL","Early adult","IMPC_CSD_010_001","coat - color pattern - abdomen","0.06106031"
"1913743","00390nha69b9ysy","Mrpl51","C57BL","Early adult","IMPC_EYE_059_001","mean right eye lens density","0.2072248"
"2444115","00440844uctcmfd","Hecw1","C57BL","Early adult","IMPC_GEO_069_001","delayed embryonic development","0.3426295"
"2384860","0049wd617rb82qi","Slc44a3","C57BL","Early adult","IMPC_GEO_009_002","hemorrhage","0.9232067"
"2448415","004j1hr5r2qr7y0","H2bc21","C57BL","Middle aged adult","IMPC_GEL_027_001","neural tube closure","0.3915266"
"2137681","004q32x0v902w5u","Sfxn5","C57BL","Early adult","HRWLIP_CSD_077_001","contact righting","0.7309982"
"1915513","004r90541zmr4n5","Pdhb","C57BL","E12.5","IMPC_OFD_013_001","periphery average speed","0.7875653"
"1917633","004ykfuc1u0xhu1","Cox10","C57BL","Early adult","IMPC_EYE_065_001","right posterior chamber depth","0.1162087"
"1915513","0053g83922kaqjq","Pdhb","C57BL","Early adult","IMPC_GEL_057_001","heart looping","0.9265704"
"1891214","00557y79446of3n","Lhfpl1","C57BL","Early adult","IMPC_DXA_003_001","lean mass","0.6128466"
"894310","005kj0bne6wr74h","Septin8","C57BL","Early adult","IMPC_CSD_078_001","vocalization","0.1186452"
"2444115","00627u6suc99642","Hecw1","C57BL","Late adult","IMPC_HEM_004_001","hematocrit","0.7390003"
"95748","00643299a4l3bzw","Glra2","C57BL","Early adult","ESLIM_011_001_009","pp3 + pulse startle magnitude","0.1001372"
"1917633","006c26x7t571x06","COX10","C57BL","Early adult","IMPC_EYE_025_001","retinal blood vessels structure","0.3297575"
"1913367","006e5g0l77f4dz4","Fmc1","C57BL","E18.5","IMPC_EYE_008_001","corneal opacity","0.8625417"
"1930618","006ojybb6se86a7","Krit1","C57BL","E12.5","IMPC_DXA_005_001","bone mineral content (excluding skull)","0.8065956"
"2444115","0071w55i742p9ix","Hecw1","C57BL","Middle aged adult","MGP_IMM_033_001","total nk cells - % of cd45+","0.3879476"
"2669033","007235991t8i3k3","Tmc3","C57BL","Early adult","IMPC_HEM_019_001","mean platelet volume","0.2538545"
"94903","0078n300w7im00m","Dlx3","C57BL","Early adult","IMPC_OFD_018_001","latency to center entry","0.5848766"
"1933126","007944p5pj8w965","Cdk5rap3","C57BL","Early adult","IMPC_ACS_035_001","% pre-pulse inhibition - ppi3","0.6560369"
"2448415","0081xz5u2iu8f3r","H2bc21","C57BL","Early adult","IMPC_IPG_010_001","fasted blood glucose concentration","0.7495091"
"109167","0084oj9nm14ov4x","Fgf11","C57BL","Early adult","JAX_OFD_013_001","periphery average speed","0.91895"
"1352449","00869pegm736z00","Cxcl9","C57BL","Early adult","IMPC_CSD_032_001","locomotor activity","0.5039452"
"2679007","008g8zimpdmkz21","Elmo3","C57BL","Early adult","IMPC_CBC_014_001","alkaline phosphatase","0.7174169"
"1298386","008me4d1w709gu1","Tpd52l1","C57BL","Early adult","IMPC_CSD_010_001","coat - color pattern - abdomen","0.6912364"
"1349660","009egli603m6wi0","Pla2g2e","C57BL","Early adult","IMPC_XRY_005_001","teeth","0.3930492"
"2385891","009ol41663g69id","Zc3h12a","C57BL","Early adult","IMPC_HEM_006_001","mean corpuscular hemoglobin","0.5224346"
"1933169","009oo7i54wk4664","Sacm1l","C57BL","E12.5","IMPC_HEM_003_001","hemoglobin","0.9671262"
"1933388","009wc3026xa1rd9","Bicc1","C57BL","Early adult","IMPC_CSD_080_001","head bobbing","0.6640913"
"2442201","00c58q4b4d6e7q0","Adap1","C57BL","Early adult","HRWL_OWT_001_001","spleen weight","0.8503555"
"1914296","00cd646w9g8k878","Tbc1d7","C57BL","E18.5","IMPC_FEA_003_001","conditioning baseline % freezing time","0.2938875"
"1860075","00d9356p759gxm4","Ppt2","C57BL","Early adult","JAX_OFD_020_001","distance travelled - total","0.8447829"
"2448415","00dy5kt39b53321","H2bc21","C57BL","Middle aged adult","IMPC_EYE_008_001","corneal opacity","0.3402724"
"894310","00e2yj8j5g1wt8e","Septin8","C57BL","Early adult","IMPC_EYE_065_001","right posterior chamber depth","0.3815441"
"96743","00ft2u9eqntao50","Lamb1","C57BL","Early adult","IMPC_ABR_008_001","18khz-evoked abr threshold","0.7554074"
"1347090","00g36335yzo493m","Anxa10","C57BL","Early adult","IMPC_EYE_067_001","left anterior chamber depth","0.06269177"
"1330861","00h028109t878v3","Dclk1","C57BL","Early adult","IMPC_HEM_030_001","neutrophil cell count","0.5499122"
"1930618","00h4b8t448oh75w","Krit1","C57BL","Early adult","IMPC_HEM_027_001","red blood cell distribution width","0.6097703"
"99779","00h637i80bss4w7","Chrna7","C57BL","Early adult","IMPC_OFD_017_001","center average speed","0.7624553"
"2158468","00k28yph06n998m","Ms4a3","C57BL","Early adult","IMPC_CBC_018_001","glucose","0.8222164"
"3644478","00l8il65y6854mt","Defb47","C57BL","Early adult","IMPC_LDT_008_001","percent time in light","0.2882998"
"1913367","00lwn1h7ed0t052","Fmc1","C57BL","E18.5","IMPC_OFD_010_001","periphery distance travelled","0.5461898"
"1913743","00m17165qhvlzq1","Mrpl51","C57BL","Early adult","IMPC_CBC_007_001","albumin","0.6292181"
"96391","00n57xu379o7u9f","Ica1","C57BL","Early adult","IMPC_CBC_006_001","total protein","0.07761809"
"1917678","00n878c964yx089","Polr3b","C57BL","E12.5","IMPC_EYE_007_001","cornea","0.327665"
